word,frequency
torres,167
george,167
watters,167
velázquez,167
council,167
remember,166
push,166
october,166
attention,166
100,166
super,166
13th,166
class,165
ballot,165
michael,165
bores,165
services,165
field,165
example,165
industry,164
added,164
effort,164
50,164
u2019s,164
views,163
largest,163
claims,163
women,163
posts,163
visit,162
crimes,162
platner,162
threat,161
idea,161
men,161
air,161
exactly,161
pay,161
affairs,161
official,160
half,160
absolutely,160
taxpayer,160
helped,160
thousands,160
latino,160
budget,160
accused,159
somebody,159
conflict,159
ability,158
brian,158
okay,158
view,157
lawsuit,157
jersey,157
continues,157
customs,157
test,157
nydia,156
lebanon,156
standing,156
current,156
prime,155
lawmakers,155
agreement,155
address,154
uh,154
welcome,154
nadler,153
faces,153
presidential,153
speech,153
regime,153
expected,153
european,153
appeared,152
stay,152
build,152
north,152
closed,152
entire,152
died,152
dangerous,152
mass,151
interesting,151
breaking,151
talks,151
legislative,151
points,151
choice,150
channel,150
passed,150
psaki,150
telling,149
arrested,149
mark,149
funds,149
energy,149
endorsements,148
johnson,148
seeking,148
particularly,148
park,148
detained,148
status,148
position,148
wednesday,148
progressives,148
congresswoman,148
experience,147
chairman,147
related,147
friday,147
antisemitic,147
sanctions,146
male,146
brazil,146
borough,145
represent,145
putting,145
situation,145
influence,145
started,144
tarlov,144
numbers,143
liberal,143
agree,143
challenges,143
polling,143
continued,142
supported,142
velshi,142
responsibility,142
longer,141
meet,141
immigrants,141
authoritative,141
currently,140
appreciate,140
trade,140
sunday,140
fbi,140
hormuz,140
heat,140
60,139
particular,139
evidence,139
proud,139
serve,139
remarks,139
quote,139
programs,139
global,139
u201d,139
netanyahu,139
haven,138
capital,138
operations,138
costs,138
battle,138
board,138
create,138
responded,137
gas,137
ai,137
received,137
wasn,136
doj,136
queens,136
step,136
woman,136
16,136
stage,136
retiring,136
columbia,136
sign,136
burnett,135
stories,135
period,135
authorities,135
couple,135
powerful,135
book,135
ceo,135
agencies,135
risk,135
maccallum,134
worked,134
opponent,134
ad,134
holding,134
yesterday,134
cornish,134
late,134
al,134
trust,134
appropriations,134
ap,134
brought,134
base,134
hours,133
quite,133
site,133
maryland,133
cities,133
speaking,133
peace,133
closely,133
resources,133
financial,133
calls,132
friends,132
details,132
folks,132
associated,132
check,132
happens,131
nancy,131
seven,131
speak,130
kathy,130
leave,130
reflecting,130
garcia,130
2020,130
tried,130
supporters,130
weekend,130
21,129
2022,129
40,129
involved,129
food,129
comment,128
shot,128
steve,128
pennsylvania,128
truth,128
endorsing,128
section,128
college,127
multiple,127
guthrie,127
midterm,127
branch,127
amid,127
visits,126
22,126
endorse,126
talked,126
19,126
guys,126
abuse,126
simply,126
reality,126
moderate,126
failed,126
lose,126
challenger,125
relationship,125
lasher,125
available,125
25,125
forces,124
conversation,124
hate,124
harris,124
helicopter,124
minneapolis,124
area,124
original,124
spoke,123
moving,123
stuff,123
shows,123
deportation,123
bst,123
gets,122
plans,122
follow,122
poll,122
spend,122
construction,122
county,122
charged,122
students,122
ingraham,122
page,121
alleged,121
worst,121
winning,121
behalf,121
iranians,121
minority,121
priorities,121
region,121
parties,121
utah,121
healthcare,121
puerto,120
criticism,120
certain,120
language,120
robert,120
summer,120
prevent,120
34,119
rise,119
values,119
tom,119
jan,119
corporate,118
finally,118
committed,118
plus,118
showing,118
kilmeade,118
radical,118
built,118
bank,118
island,118
hezbollah,118
gone,117
property,117
ways,117
slate,117
huge,117
concerned,117
venezuela,117
medical,117
understanding,117
joined,117
claim,117
soon,116
ea,116
remain,116
total,116
acting,116
todd,116
posted,116
runoff,116
hundreds,116
areas,115
wall,115
brook,115
july,115
note,115
nomination,115
save,115
organizations,114
student,114
growing,114
targeted,114
author,114
coates,114
looks,114
massive,114
ocasio,113
china,113
hit,113
veteran,113
officer,113
transparency,113
stony,113
midterms,113
18,112
promised,112
resolution,112
delaney,112
share,112
research,112
knows,112
kids,112
wins,112
common,112
rules,112
distributors,112
previously,112
negotiations,112
10th,112
turned,112
word,111
ultimately,111
minutes,111
protests,111
self,111
nyc,111
chance,111
independent,111
cortez,111
hour,111
online,111
buy,110
mexico,110
raised,110
fair,110
development,110
asking,110
advocacy,110
